rowname,wt-ccl4-1,wt-ccl4-2,wt-ccl4-3,wt-ccl4-4,wt-ccl4-5,wt-untreated-1,wt-untreated-2,wt-untreated-3,wt-untreated-4,wt-untreated-5,yaptaz-ccl4-1,yaptaz-ccl4-2,yaptaz-ccl4-3,yaptaz-untreated-1,yaptaz-untreated-2,yaptaz-untreated-3,yaptaz-untreated-4,mgi_symbol
ENSMUSG00000030880,2.07783,3.29656,2.53285,2.92473,3.65681,2.16876,2.33743,2.23894,1.86373,1.29148,2.66568,3.76189,1.7078,2.96074,1.37236,1.68054,2.17319,Polr3e
ENSMUSG00000030881,5.056609,8.699135400000001,12.979127000000002,7.7339074,11.533589000000001,11.560588,10.662438999999999,8.553013,7.051277000000001,7.509961,15.318563000000001,14.674244000000002,7.203036,12.477689999999999,10.320044,7.60962,7.2036560000000005,Arfip2
ENSMUSG00000030882,1.8373527000000003,1.5827481,1.1833171,1.6856575999999999,1.4112135,1.9531330000000002,1.779719,1.9345206,0.9611132000000001,0.5709936,2.4074243,1.4285779,1.382787,0.733927,1.1779331000000002,1.8147939999999998,1.7705920000000002,Dnhd1
ENSMUSG00000030884,249.70003400000002,509.01254900000004,272.69507000000004,480.82085300000006,272.120118,249.6319,243.12104,309.94169999999997,210.05509999999998,133.22623,283.45055,233.16316,111.3385,234.470485,228.89260000000002,293.15133000000003,285.288037,Uqcrc2
ENSMUSG00000030887,0.384507,0.35616,0.114517,0.209825,0.168732,0.27655,0.0525869,0.214237,0.203894,0.095713500000000007,0.197689,0.151768,0.0938081,0.134921,0.198123,0.0995642,0.104517,Pdzd9
ENSMUSG00000030888,8.816872,6.29152,11.74915,8.9373,18.04034,4.09726,5.28102,5.9799240000000005,8.073033,4.7901810000000005,7.72612,10.927947,1.56535,9.42957,3.55217,7.599998,9.09017,Rrp8
ENSMUSG00000030889,0.1100521,0.0285081,0.1650195,0.0188203,0.0498499,0.0292336,0.0557459,0.0,0.0363421,0.061192,0.0,0.0753767,0.0,0.0658505,0.0,0.0149055,0.0759913,Vwa3a
ENSMUSG00000030890,44.555989000000004,64.90894,50.798199000000004,59.55688000000001,53.550983,37.924651,42.164344,45.968147,46.72718999999999,25.404963000000002,62.17799,53.839259,40.528952,66.71938,47.303065000000004,57.36910999999999,55.77165000000001,Ilk
ENSMUSG00000030894,22.8576,27.3797,24.0772,24.2991,22.9539,18.6159,17.667,18.1866,16.5264,10.6676,30.3475,28.5835,17.1175,35.0722,17.1075,22.3363,23.9535,Tpp1
ENSMUSG00000030895,4349.87,4070.06,3383.39,4684.76,3904.89,2623.61,2283.81,2789.76,2281.34,2707.86,7230.95,7988.04,5433.86,3401.18,2380.35,3928.72,3225.01,Hpx
ENSMUSG00000030897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212822,0.0,0.0,0.0,0.0,0.0,0.0,0.048804,0.0,0.0,Cnga4
ENSMUSG00000030905,1.1045608,1.8470465,1.2836905,1.857897,1.373294,1.04795,1.03389,0.7079928000000001,1.15617,0.5241057,1.37056,1.7377151999999998,0.8339451,1.4648538,0.983341,0.824791,0.7069501,Crym
ENSMUSG00000030909,18.0581,30.8971,24.1242,29.993,22.75,19.6378,21.1214,20.4259,12.9484,8.35316,17.1467,19.6606,7.8721,25.8597,14.7635,14.267,17.0871,Anks4b
ENSMUSG00000030917,1.8188,1.64275,0.912049,1.95584,1.45825,0.659113,0.739098,0.533842,1.22015,0.393813,1.75309,2.02055,2.73246,0.600289,0.895032,1.06838,0.63794,Tmem159
ENSMUSG00000030921,1.9851590000000001,0.5469,1.7508589999999997,1.436289,1.476753,1.1212170000000001,1.162662,0.5536,2.2390369999999997,0.413633,2.030498,3.35444,2.999343,0.35450800000000005,0.12917,1.377434,0.8608310000000001,Trim30a
ENSMUSG00000030922,2.19504,4.882516,1.6887,3.953644,1.5621779999999998,1.723678,1.8777089999999999,2.376,0.6738649999999999,1.5688868,2.325133,0.855595,1.223264,0.866581,1.696599,2.3678892,0.911758,Lyrm1
ENSMUSG00000030924,4.611663,5.920196000000001,6.143318000000001,1.648098,5.963945000000001,4.484985,2.942241,2.9626736,2.241528,3.6090972,12.01882,8.453923,3.558498,1.902368,1.6532114,1.611441,2.390162,2610020H08Rik
ENSMUSG00000030929,2.591362,1.786594,2.7428520000000005,1.631141,2.127028,1.3686539999999998,1.291895,1.287134,1.303625,1.1063216,2.900308,9.173084,1.6333068000000002,2.3243970000000003,1.360346,1.525966,1.589773,Eri2
ENSMUSG00000030930,0.243295,0.571128,0.17367,1.11247,0.5632028,0.0,0.0268879,0.106567,0.115008,0.0157071,1.04716,0.48196,1.858611,0.083357,0.0,0.0817749,0.210785,Chst15
ENSMUSG00000030934,16.1977,20.3672,19.622,25.5527,19.4803,25.1483,11.88,75.8627,96.4361,70.8844,9.15554,37.6206,19.676,120.244,0.8215,46.2208,34.8284,Oat
ENSMUSG00000030935,102.002903,149.98643199999998,107.09062,119.7281886,95.87042109999999,59.868078999999994,47.053782999999996,86.901139,98.34564300000001,33.4895135,59.276880000000006,46.879754000000005,14.6761801,92.293318,69.302584,72.274529,88.984951,Acsm3
ENSMUSG00000030942,6.62975,7.46673,6.36978,7.65768,7.60879,3.75616,3.74928,5.09234,3.6456,2.58632,6.84613,9.21532,4.02143,6.19199,4.22042,5.60322,4.52707,Thumpd1
ENSMUSG00000030945,0.493194,0.538465,1.0116370000000001,0.464352,0.891092,1.289754,0.968932,0.595231,0.632134,0.5763899,0.0869844,0.0781807,0.0818453,0.2538159,0.422523,1.96252,0.9003239999999999,Acsm2
ENSMUSG00000030946,2.74056,4.8340760000000005,2.89519,4.383413,2.63758,3.1811,2.26787,7.11226,14.14537,9.15796,4.13286,9.68305,5.3038609999999995,15.8542,0.0788136,5.29539,4.830783,Lhpp
ENSMUSG00000030954,0.0,0.0,0.048132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0883597,0.0,0.0,0.0,0.0,Gp2
ENSMUSG00000030956,3.028414,3.1376609999999996,2.3653075,4.747433999999999,4.940832,1.986344,1.096876,2.1734107,1.8231629999999999,0.8861680000000001,4.796949,4.045265,2.0899108,3.262774,0.854506,1.232618,1.9240820000000003,Fam53b
ENSMUSG00000030960,4.44848,8.67515,7.611655,6.4065970000000005,5.000718,2.46151,2.763217,5.83511,6.578698,1.854261,5.8737759999999994,7.423407,5.436504,4.237453,1.956944,3.59308,2.357001,Mettl10
ENSMUSG00000030963,0.0,0.0353997,0.0,0.0,0.0,0.0344173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Umod
ENSMUSG00000030965,10.6962699,12.846506,10.529269000000001,13.703082299999998,11.805458999999999,7.172967,5.300669,8.564503,7.02484,3.5238167,13.8191947,15.3112331,4.4989032,9.78122,5.452955,9.003345,9.944259999999998,Fam175b
ENSMUSG00000030966,1.36603,1.54653,1.50506,1.52753,1.9631,0.451293,1.25445,1.49275,1.12827,0.509379,2.2027,2.12269,1.21629,1.64128,0.662937,1.06408,1.39956,Trim21
ENSMUSG00000030967,16.913504999999997,17.54891,15.008413,14.980619999999998,12.21299,13.382382999999999,11.766558,10.60909,10.11169,6.60718,17.58506,20.74888,7.89832,14.402275000000001,8.24005,12.0566,13.600105,Zranb1
ENSMUSG00000030968,1.33049,2.71101,3.55735,1.90757,2.16365,2.11669,2.70204,2.03204,0.764048,1.0969,1.02602,0.684451,0.753958,2.23145,1.19945,2.61057,2.22335,Pdilt
